IELTS Topic,Entities (Nouns),Inputs (Nouns),Processes (Verbs),Outputs (Nouns),Modifiers (Adjectives/Adverbs),Behaviors (Abstract Nouns),Useful Collocations / Idioms
Education,—,—,—,—,—,—,—
Environment,—,—,—,—,—,—,—
Technology,—,—,—,—,—,—,—
Health,—,—,—,—,—,—,—
Work & Employment,—,—,—,—,—,—,—
Globalization & Culture,—,—,—,—,—,—,—
Government & Society,—,—,—,—,—,—,—
Media & Communication,—,—,—,—,—,—,—
Economy & Money,—,—,—,—,—,—,—
Crime & Law,—,—,—,—,—,—,—
Culture,"traditions, values, customs, heritage, norms, languages, symbols, rituals, beliefs","migration, globalization, media, education, religion, historical events","preserve, express, adapt, influence, celebrate, erode, transmit, interpret","identity, artistic expression, diversity, misunderstanding, unity, cultural products","traditional, cultural, diverse, sacred, symbolic, rapidly, deeply","adaptability, preservation, emergence, sensitivity, assimilation, rigidity, resilience","cultural roots, cross-cultural exchange, clash of cultures, cultural melting pot, preserve traditions, cultural identity"
